algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,HQOLC,01001000010100010100111101001100010000110111100001111000,01001000010100010100111101001100010000110111100001111000,0,-1,correcta,1,0.4,0.12
fletcher,ZAAPX,01011010010000010100000101010000010110001000010110000101,01011010010000010100000101010000010110001000010110000101,0,-1,correcta,1,0.47,0.057
fletcher,VVPS,010101100101011001010000010100110101000001010000,010101100101011001010000010100110101000001010000,0,-1,correcta,1,1.85,0.187
fletcher,HSPDC,01001000010100110101000001000100010000110111001101110011,01001000010100110101000001000100010000110111001101110011,0,-1,correcta,1,0.8,0.046
fletcher,ZPPJ,010110100101000001010000010010100100010101000101,010110100101000001010000010010100100010101000101,0,-1,correcta,1,0.66,0.085
fletcher,XZZPYQKHAB,010110000101101001011010010100000101100101010001010010110100100001000001010000100001111100011111,010110000101101001011010010100000101100101010001010010110100100001000001010000100001111100011111,0,-1,correcta,1,1.22,0.161
fletcher,RYPZYZ,0101001001011001010100000101101001011001010110100000101000001010,0101001001011001010100000101101001011001010110100000101000001010,0,-1,correcta,1,1.31,0.056
fletcher,QHSNQLTXOV,010100010100100001010011010011100101000101001100010101000101100001001111010101100010101100101011,010100010100100001010011010011100101000101001100010101000101100001001111010101100010101100101011,0,-1,correcta,1,1.13,0.096
fletcher,XPYUNY,0101100001010000010110010101010101001110010110011111111011111110,0101100001010000010110010101010101001110010110011111111011111110,0,-1,correcta,1,0.58,0.023
fletcher,ZKVGZMMW,01011010010010110101011001000111010110100100110101001101010101111000111110001111,01011010010010110101011001000111010110100100110101001101010101111000111110001111,0,-1,correcta,1,1.2,0.067
fletcher,UUY,0101010101010101010110010000010000000100,0101010101010101010110010000010000000100,0,-1,correcta,1,1.13,0.128
fletcher,DIDOIOTRHO,010001000100100101000100010011110100100101001111010101000101001001001000010011111111011111110111,010001000100100101000100010011110100100101001111010101000101001001001000010011111111011111110111,0,-1,correcta,1,1.12,0.011
fletcher,UUW,0101010101010101010101110000001000000010,0101010101010101010101110000001000000010,0,-1,correcta,1,1.11,0.106
fletcher,JWDHU,01001010010101110100010001001000010101011000001110000011,01001010010101110100010001001000010101011000001110000011,0,-1,correcta,1,0.4,0.049
fletcher,OAGBKSPNXK,010011110100000101000111010000100100101101010011010100000100111001011000010010111111101011111010,010011110100000101000111010000100100101101010011010100000100111001011000010010111111101011111010,0,-1,correcta,1,1.27,0.072
fletcher,WBVUBETCU,0101011101000010010101100101010101000010010001010101010001000011010101011011100110111001,0101011101000010010101100101010101000010010001010101010001000011010101011011100110111001,0,-1,correcta,1,0.6,0.074
fletcher,VTMSCMJFRG,010101100101010001001101010100110100001101001101010010100100011001010010010001110000011000000110,010101100101010001001101010100110100001101001101010010100100011001010010010001110000011000000110,0,-1,correcta,1,0.95,0.093
fletcher,KCIKKNV,010010110100001101001001010010110100101101001110010101100001001100010011,010010110100001101001001010010110100101101001110010101100001001100010011,0,-1,correcta,1,2.19,0.093
fletcher,MJNOG,01001101010010100100111001001111010001110111110001111100,01001101010010100100111001001111010001110111110001111100,0,-1,correcta,1,1.2,0.155
fletcher,WYGN,010101110101100101000111010011100100011001000110,010101110101100101000111010011100100011001000110,0,-1,correcta,1,0.4,0.19
fletcher,FWEVY,01000110010101110100010101010110010110011001001010010010,01000110010101110100010101010110010110011001001010010010,0,-1,correcta,1,0.38,0.127
fletcher,YRUYEH,0101100101010010010101010101100101000101010010001110011111100111,0101100101010010010101010101100101000101010010001110011111100111,0,-1,correcta,1,0.35,0.073
fletcher,RJGIO,01010010010010100100011101001001010011110111110001111100,01010010010010100100011101001001010011110111110001111100,0,-1,correcta,1,0.75,0.087
fletcher,AOYZU,01000001010011110101100101011010010101011001100110011001,01000001010011110101100101011010010101011001100110011001,0,-1,correcta,1,0.74,0.081
fletcher,PGLPF,01010000010001110100110001010000010001100111101001111010,01010000010001110100110001010000010001100111101001111010,0,-1,correcta,1,1.63,0.056
fletcher,BJLTAGQE,01000010010010100100110001010100010000010100011101010001010001010100110001001100,01000010010010100100110001010100010000010100011101010001010001010100110001001100,0,-1,correcta,1,0.98,0.186
